关键词,名称,sal,d,d1,d2
五险一金,Python软件架构设计,1.5-2万,上海,无需经验,本科
"python
数据库
linux
django
sql
flask
redis
爬虫
Java
web
五险一金
补充医疗保险
补充公积金
通讯补贴
年终奖金
餐饮补贴
绩效奖金
定期体检
弹性工作
专业培训",Python开发工程师,8千-1.5万,北京·海淀区,1年,大专
"python
自动化测试
五险一金
绩效奖金",Python（开发/测试）,1-1.8万,深圳,1年,本科
"python
爬虫
django
flask
数据库
sql
员工旅游
定期体检
年终奖金
补充医疗保险
专业培训
五险一金
交通补贴
免费班车
通讯补贴
弹性工作",Python开发工程师(欧美自研项目）,1.2-2万·13薪,沈阳·沈河区,1年,大专
"excel
sql
开发
git
selenium
英语四级
pandas
版本控制
代码注释
团队开发
六险一金",Python_Cl000004,1.5-1.7万,成都,3-4年,本科
"python
数据库
linux
django
sql
flask
redis
爬虫
Java
web
五险一金
补充医疗保险
补充公积金
通讯补贴
年终奖金
餐饮补贴
绩效奖金
定期体检
弹性工作
专业培训",Python开发工程师,8千-1.5万,北京·海淀区,1年,大专
"RPA
python
五险一金",Python/RPA开发工程师,6-8千,南昌·西湖区,1年,大专
"五险一金
员工旅游
定期体检
餐饮补贴
年终奖金",中级Python开发工程师,1.1-1.7万·14薪,杭州,3-4年,本科
"python
数据库
Debug
Mysql
Oracle
Web开发
带薪年假
五险一金
商业保险
年终奖金
绩效奖金",Python开发工程师,8千-1.3万,武汉·东湖新技术产业开发区,1年,大专
"蓝牙耳机
python
带薪年假
五险一金
绩效奖金
全勤奖
节日福利
餐饮补贴
项目奖
年终奖
免费培训",Python自动化工程师,8千-1.5万,东莞·大朗镇,2年,大专
"软件工程师
软件开发
python
爬虫
开发
开发工程师
工程师
专业培训
做五休二",Python上位机开发高级工程师（苏州佳铭）,8千-1.5万,昆山,3-4年,本科
"java
mysql
jquery
linux
css
html
c++
git
c#
pythonweb
五险一金
年终奖金
绩效奖金
餐饮补贴
定期体检",Python开发工程师,1.2-1.7万·13薪,北京·海淀区,1年,大专
"python
数据库
linux
django
sql
flask
redis
爬虫
Java
web
五险一金
补充医疗保险
补充公积金
通讯补贴
年终奖金
餐饮补贴
绩效奖金
定期体检
弹性工作
专业培训",Python开发工程师,8千-1.5万,北京·海淀区,1年,大专
五险一金,Python软件架构设计,1.5-2万,苏州,无需经验,本科
"shell
Openstack
python
Oracle
PostgresQL
核心组件代码
架构师
软件工程师
微服务架构
五险一金
交通补贴
餐饮补贴
股票期权
弹性工作",Python开发工程师（OpenStack云计算方向）,1.2-2.4万·13薪,杭州·滨江区,3-4年,本科
"java
html
pythonweb
web前端
django
php
restapi
bootstrap
员工旅游
专业培训
五险一金
餐饮补贴
定期体检
弹性工作",Python工程师,9千-1.4万·13薪,北京·海淀区,1年,大专
"python
数据库
linux
django
sql
flask
redis
爬虫
Java
web
五险一金
补充医疗保险
补充公积金
通讯补贴
年终奖金
餐饮补贴
绩效奖金
定期体检
弹性工作
专业培训",Python开发工程师,8千-1.5万,北京·海淀区,1年,大专
